"name","word","count"
"clegg","clegg","16751"
"said","said","13671"
"would","would","12965"
"party","party","12246"
"lib","lib","10799"
"labour","labour","10788"
"government","government","10022"
"cameron","cameron","8893"
"one","one","7509"
"people","people","7345"
"coalition","coalition","7072"
"minister","minister","5953"
"dems","dems","5940"
"liberal","liberal","5789"
"nick","nick","5513"
"election","election","5098"
"new","new","4859"
"prime","prime","4802"
"also","also","4753"
"dem","dem","4652"
"could","could","4443"
"time","time","4363"
"last","last","4095"
"tory","tory","4015"
"david","david","3941"
"may","may","3902"
"year","year","3828"
"tories","tories","3744"
"vote","vote","3740"
"public","public","3673"
"two","two","3668"
"think","think","3616"
"leader","leader","3564"
"like","like","3562"
"first","first","3547"
"says","says","3504"
"political","political","3502"
"tax","tax","3486"
"make","make","3397"
"britain","britain","3250"
"say","say","3219"
"get","get","3163"
"even","even","3103"
"right","right","3091"
"made","made","3056"
"many","many","3013"
"way","way","2978"
"next","next","2969"
"years","years","2928"
"us","us","2924"
"mps","mps","2921"
"much","much","2919"
"reform","reform","2873"
"democrats","democrats","2811"
"going","going","2803"
"secretary","secretary","2802"
"support","support","2741"
"policy","policy","2691"
"back","back","2672"
"uk","uk","2658"
"want","want","2621"
"need","need","2614"
"work","work","2605"
"parties","parties","2575"
"week","week","2570"
"conservative","conservative","2564"
"share","share","2540"
"brown","brown","2535"
"deputy","deputy","2507"
"politics","politics","2480"
"see","see","2438"
"parliament","parliament","2430"
"country","country","2413"
"well","well","2407"
"system","system","2399"
"miliband","miliband","2394"
"take","take","2392"
"british","british","2377"
"conservatives","conservatives","2357"
"twitter","twitter","2345"
"bill","bill","2329"
"voters","voters","2308"
"told","told","2294"
"change","change","2289"
"today","today","2206"
"campaign","campaign","2193"
"10","10","2176"
"still","still","2151"
"three","three","2125"
"plus","plus","2114"
"facebook","facebook","2109"
"debate","debate","2081"
"good","good","2043"
"go","go","2017"
"power","power","1995"
"google","google","1995"
"eu","eu","1975"
"cuts","cuts","1951"
"democrat","democrat","1929"
"former","former","1905"
